id,name,city,country,continent,region,lon,lat,rank
SVG,"Stavanger Airport, Sola",Stavanger,Norway,Europe,Northern Europe,5.637778,58.876667,496
LBA,Leeds Bradford,Leeds,United Kingdom,Europe,Northern Europe,-1.660556,53.865833,499
DYU,Dushanbe International,Dushanbe,Tajikistan,Asia,Central Asia,68.825,38.543333,502
WIL,Wilson,Nairobi,Kenya,Africa,Eastern Africa,36.814722,-1.321667,503
RZE,Rzeszów–Jasionka,Rzeszów,Poland,Europe,Central Europe,22.018889,50.11,504
AKR,Akure,Akure,Nigeria,Africa,Western Africa,5.3,7.25,509
GOA,Genoa Cristoforo Colombo,Genoa,Italy,Europe,Southern Europe,8.8375,44.413333,510
GRX,Federico García Lorca,Granada,Spain,Europe,Southern Europe,-3.777222,37.188611,514
SLL,Salalah,Salalah,Oman,Asia,Western Asia,54.091389,17.038611,519
KSC,Košice International,Košice,Slovakia,Europe,Central Europe,21.241111,48.663056,526
OVD,Asturias,Asturias,Spain,Europe,Southern Europe,-6.034722,43.563611,527
HMB,Sohag International,Sohag,Egypt,Africa,Northern Africa,31.742778,26.342778,528
FUE,Fuerteventura,Fuerteventura,Spain,Europe,Southern Europe,-13.863889,28.452778,530
ABB,Asaba International,Asaba,Nigeria,Africa,Western Africa,6.667222,6.203056,532
EFL,Kephalonia International,Cephalonia,Greece,Europe,Southern Europe,20.500556,38.12,533
MIR,Monastir Habib Bourguiba International,Monastir,Tunisia,Africa,Northern Africa,10.754722,35.758056,540
MGQ,Aden Adde International,Mogadishu,Somalia,Africa,Eastern Africa,45.305,2.014722,541
JSI,Skiathos Island National,Skiathos,Greece,Europe,Southern Europe,23.503611,39.177222,544
ALP,Aleppo International Airport,Aleppo,Syria,Asia,Southern Asia,37.2244,36.180698,546
TRS,Trieste – Friuli Venezia Giulia,Trieste,Italy,Europe,Southern Europe,13.472222,45.8275,554
DJE,Djerba–Zarzis International,Djerba,Tunisia,Africa,Northern Africa,10.775556,33.875,556
